,Symbol,Price,Type,Strike,Exp Date,DTE,Bid,Ask,Last,Volume,Open Int,Vol/OI,IV,Time,DTE in years,Risk free,IV_brenner
14,AAPL,364.11,Call,440.0,09/18/20,78,1.2,3.3,2.0,43,892,0.05,28.97,07/02/20,0.2136986301369863,0.0045000000000000005,4.9143988227934035
15,AAPL,364.11,Call,430.0,09/18/20,78,0.53,3.45,2.51,196,1060,0.18,27.96,07/02/20,0.2136986301369863,0.0045000000000000005,5.13778058746583
16,AAPL,364.11,Call,450.0,06/17/22,715,28.0,33.0,33.25,51,1302,0.04,28.56,07/02/20,1.9589041095890412,0.0049,16.23172509382554
17,AAPL,364.11,Call,300.0,09/17/21,442,84.5,89.5,88.69,13,775,0.02,30.65,07/01/20,1.210958904109589,0.0049,55.99066948084389
18,AAPL,364.11,Call,320.0,09/17/21,442,71.5,76.0,73.6,25,1324,0.02,30.04,07/02/20,1.210958904109589,0.0049,47.54514950328643
19,AAPL,364.11,Call,400.0,06/17/22,715,44.0,48.9,47.9,18,3725,0.0,28.5,07/02/20,1.9589041095890412,0.0049,24.052465366305114
20,AAPL,364.11,Call,430.0,06/17/22,715,34.0,39.0,38.3,7,99,0.07,28.43,07/02/20,1.9589041095890412,0.0049,19.182947838157453
21,AAPL,364.11,Call,430.0,12/18/20,169,6.8,9.75,9.4,6,1005,0.01,29.29,07/02/20,0.46301369863013697,0.0040999999999999995,9.864271637426004
22,AAPL,364.11,Call,340.0,11/20/20,141,40.7,43.6,43.53,41,510,0.08,33.02,07/02/20,0.3863013698630137,0.0040999999999999995,48.29261166519739
23,AAPL,364.11,Call,320.0,11/20/20,141,56.25,57.85,59.25,20,452,0.04,36.87,07/02/20,0.3863013698630137,0.0040999999999999995,64.07632075301993
24,AAPL,364.11,Call,330.0,11/20/20,141,48.95,51.45,51.6,32,389,0.08,33.57,07/01/20,0.3863013698630137,0.0040999999999999995,56.98749702234876
25,AAPL,364.11,Call,350.0,11/20/20,141,35.0,38.85,37.6,45,1187,0.04,32.77,07/02/20,0.3863013698630137,0.0040999999999999995,43.03137530258988
26,AAPL,364.11,Call,355.0,11/20/20,141,31.45,34.45,33.76,9,298,0.03,31.41,07/02/20,0.3863013698630137,0.0040999999999999995,38.15780898775345
27,AAPL,364.11,Call,390.0,12/18/20,169,18.9,21.4,19.15,3411,950,3.59,28.82,07/02/20,0.46301369863013697,0.0040999999999999995,21.65081159394015
28,AAPL,364.11,Call,380.0,12/18/20,169,22.0,25.4,23.2,130,4423,0.03,29.27,07/02/20,0.46301369863013697,0.0040999999999999995,25.697692265704664
29,AAPL,364.11,Call,325.0,11/20/20,141,51.15,55.6,55.0,7,412,0.02,35.62,07/02/20,0.3863013698630137,0.0040999999999999995,61.58415616020585
30,AAPL,364.11,Call,480.0,12/18/20,169,2.51,5.0,3.3,10,446,0.02,29.15,07/02/20,0.46301369863013697,0.0040999999999999995,5.058600839705643
31,AAPL,364.11,Call,300.0,12/18/20,169,72.5,76.7,73.99,32,1815,0.02,33.65,07/02/20,0.46301369863013697,0.0040999999999999995,77.59893688108457
32,AAPL,364.11,Call,330.0,12/18/20,169,50.0,52.8,52.96,32,1495,0.02,33.7,07/02/20,0.46301369863013697,0.0040999999999999995,53.41882486729159
33,AAPL,364.11,Call,340.0,12/18/20,169,43.65,46.05,49.75,10,2643,0.0,36.86,07/02/20,0.46301369863013697,0.0040999999999999995,46.58971373368897
34,AAPL,364.11,Call,440.0,12/18/20,169,5.2,8.0,6.9,18,354,0.05,28.11,07/02/20,0.46301369863013697,0.0040999999999999995,8.09376134352903
35,AAPL,364.11,Call,320.0,12/18/20,169,57.7,60.85,62.06,14,1522,0.01,36.97,07/02/20,0.46301369863013697,0.0040999999999999995,61.56317221921768
36,AAPL,364.11,Call,335.0,12/18/20,169,46.6,49.8,50.35,18,382,0.05,31.77,07/01/20,0.46301369863013697,0.0040999999999999995,50.383664363468206
37,AAPL,364.11,Call,360.0,12/18/20,169,32.15,34.3,34.55,82,2079,0.04,31.91,07/02/20,0.46301369863013697,0.0040999999999999995,34.70200176038071
38,AAPL,364.11,Call,450.0,12/18/20,169,5.0,5.65,5.58,16,501,0.03,28.12,07/02/20,0.46301369863013697,0.0040999999999999995,5.716218948867377
39,AAPL,364.11,Call,410.0,12/18/20,169,12.0,14.0,12.9,198,1296,0.15,28.36,07/02/20,0.46301369863013697,0.0040999999999999995,14.1640823511758
40,AAPL,364.11,Call,420.0,12/18/20,169,7.55,10.75,11.1,164,807,0.2,28.95,07/02/20,0.46301369863013697,0.0040999999999999995,10.875991805367132
41,AAPL,364.11,Call,400.0,12/18/20,169,15.0,17.1,15.55,1909,2969,0.64,28.33,07/02/20,0.46301369863013697,0.0040999999999999995,17.3004148717933
42,AAPL,364.11,Call,370.0,12/18/20,169,27.0,28.9,28.09,101,2353,0.04,30.04,07/02/20,0.46301369863013697,0.0040999999999999995,29.238712853498615
43,AAPL,364.11,Call,450.0,09/18/20,78,1.4,1.6,1.5,144,3056,0.05,29.49,07/02/20,0.2136986301369863,0.0045000000000000005,2.3827388231725593
44,AAPL,364.11,Call,435.0,07/17/20,15,0.1,0.2,0.13,36,572,0.06,38.77,07/02/20,0.0410958904109589,0.0079,0.6791850626527483
45,AAPL,364.11,Call,430.0,07/17/20,15,0.0,0.2,0.15,624,2498,0.25,37.32,07/02/20,0.0410958904109589,0.0079,0.6791850626527483
46,AAPL,364.11,Call,445.0,07/17/20,15,0.0,0.11,0.1,19,325,0.06,41.58,07/02/20,0.0410958904109589,0.0079,0.3735517844590115
47,AAPL,364.11,Call,440.0,07/17/20,15,0.12,0.15,0.12,14,837,0.02,40.47,07/02/20,0.0410958904109589,0.0079,0.5093887969895611
48,AAPL,364.11,Call,300.0,06/18/21,351,80.5,85.5,83.7,120,5299,0.02,31.89,07/02/20,0.9616438356164384,0.0039000000000000003,60.02280902545058
49,AAPL,364.11,Call,310.0,06/18/21,351,73.5,78.15,78.23,14,1099,0.01,32.96,07/02/20,0.9616438356164384,0.0039000000000000003,54.862953512736404
50,AAPL,364.11,Call,320.0,06/18/21,351,67.0,71.05,71.17,23,2780,0.01,32.24,07/02/20,0.9616438356164384,0.0039000000000000003,49.878603289570336
51,AAPL,364.11,Call,335.0,07/17/20,15,29.7,32.45,30.0,242,6883,0.04,28.85,07/02/20,0.0410958904109589,0.0079,110.1977764154084
52,AAPL,364.11,Call,365.0,08/21/20,50,15.85,17.45,16.15,1267,3870,0.33,30.21,07/02/20,0.136986301369863,0.0064,32.45743446446973
53,AAPL,364.11,Call,405.0,08/21/20,50,3.25,3.6,3.32,347,1338,0.26,28.18,07/02/20,0.136986301369863,0.0064,6.696089631638453
54,AAPL,364.11,Call,340.0,07/17/20,15,25.0,27.0,26.0,245,10857,0.02,32.09,07/02/20,0.0410958904109589,0.0079,91.689983458121
55,AAPL,364.11,Call,345.0,07/17/20,15,19.4,22.4,21.75,1627,5614,0.29,31.33,07/02/20,0.0410958904109589,0.0079,76.06872701710779
56,AAPL,364.11,Call,342.5,07/17/20,15,21.7,24.35,23.9,35,115,0.3,32.01,07/02/20,0.0410958904109589,0.0079,82.69078137797209
57,AAPL,364.11,Call,350.0,07/17/20,15,16.85,18.5,17.43,2003,9542,0.21,29.12,07/02/20,0.0410958904109589,0.0079,62.82461829537921
58,AAPL,364.11,Call,355.0,07/17/20,15,13.05,15.25,13.6,1668,12925,0.13,27.88,07/02/20,0.0410958904109589,0.0079,51.78786102727205
59,AAPL,364.11,Call,352.5,07/17/20,15,13.2,17.2,15.12,80,530,0.15,27.05,07/02/20,0.0410958904109589,0.0079,58.40991538813635
60,AAPL,364.11,Call,347.5,07/17/20,15,18.5,20.0,21.15,12,222,0.05,37.24,07/02/20,0.0410958904109589,0.0079,67.91850626527483
61,AAPL,364.11,Call,360.0,07/17/20,15,9.5,10.5,10.0,6872,11063,0.62,26.12,07/02/20,0.0410958904109589,0.0079,35.65721578926928
62,AAPL,364.11,Call,365.0,07/17/20,15,6.75,7.4,7.15,5910,8995,0.66,25.39,07/02/20,0.0410958904109589,0.0079,25.129847318151683
63,AAPL,364.11,Call,362.5,07/17/20,15,8.0,9.4,8.65,659,1205,0.55,26.23,07/02/20,0.0410958904109589,0.0079,31.921697944679167
64,AAPL,364.11,Call,357.5,07/17/20,15,11.25,13.25,11.4,286,693,0.41,25.72,07/02/20,0.0410958904109589,0.0079,44.99601040074456
65,AAPL,364.11,Call,370.0,07/17/20,15,4.6,5.65,4.81,10545,9602,1.1,24.6,07/02/20,0.0410958904109589,0.0079,19.18697801994014
66,AAPL,364.11,Call,375.0,07/17/20,15,3.0,4.35,3.12,3182,7876,0.4,24.23,07/02/20,0.0410958904109589,0.0079,14.772275112697269
67,AAPL,364.11,Call,372.5,07/17/20,15,1.83,4.1,3.9,1071,2188,0.49,24.41,07/02/20,0.0410958904109589,0.0079,13.923293784381336
68,AAPL,364.11,Call,380.0,07/17/20,15,1.9,2.4,2.0,4289,8872,0.48,24.32,07/02/20,0.0410958904109589,0.0079,8.150220751832977
69,AAPL,364.11,Call,382.5,07/17/20,15,1.5,2.6,1.57,434,365,1.19,24.33,07/02/20,0.0410958904109589,0.0079,8.829405814485726
70,AAPL,364.11,Call,377.5,07/17/20,15,0.24,2.87,2.57,854,670,1.27,24.53,07/02/20,0.0410958904109589,0.0079,9.746305649066937
71,AAPL,364.11,Call,390.0,07/17/20,15,0.75,1.0,0.84,1518,4504,0.34,25.39,07/02/20,0.0410958904109589,0.0079,3.395925313263741
72,AAPL,364.11,Call,395.0,07/17/20,15,0.34,0.7,0.56,1139,2146,0.53,26.19,07/02/20,0.0410958904109589,0.0079,2.3771477192846184
73,AAPL,364.11,Call,405.0,07/17/20,15,0.33,0.44,0.34,253,2663,0.1,29.29,07/02/20,0.0410958904109589,0.0079,1.494207137836046
74,AAPL,364.11,Call,415.0,07/17/20,15,0.0,0.35,0.23,56,646,0.09,32.47,07/02/20,0.0410958904109589,0.0079,1.1885738596423092
75,AAPL,364.11,Call,410.0,07/17/20,15,0.06,0.37,0.27,188,2762,0.07,30.76,07/02/20,0.0410958904109589,0.0079,1.2564923659075842
76,AAPL,364.11,Call,400.0,07/17/20,15,0.43,0.45,0.44,2987,9760,0.31,27.86,07/02/20,0.0410958904109589,0.0079,1.5281663909686833
77,AAPL,364.11,Call,420.0,07/17/20,15,0.18,0.2,0.19,229,2159,0.11,33.93,07/02/20,0.0410958904109589,0.0079,0.6791850626527483
78,AAPL,364.11,Call,425.0,07/17/20,15,0.17,0.25,0.16,162,2210,0.07,35.39,07/02/20,0.0410958904109589,0.0079,0.8489813283159352
79,AAPL,364.11,Call,510.0,09/18/20,78,0.66,0.88,0.77,80,166,0.48,37.52,07/02/20,0.2136986301369863,0.0045000000000000005,1.3105063527449075
80,AAPL,364.11,Call,500.0,09/18/20,78,0.63,0.85,0.75,219,3484,0.06,35.55,07/02/20,0.2136986301369863,0.0045000000000000005,1.265829999810422
81,AAPL,364.11,Call,430.0,10/16/20,106,3.55,4.3,4.72,26,548,0.05,28.89,07/02/20,0.29041095890410956,0.0040999999999999995,5.493122481426608
82,AAPL,364.11,Call,210.0,06/18/21,351,156.2,160.25,160.52,21,681,0.03,39.9,07/02/20,0.9616438356164384,0.0039000000000000003,112.4988906003328
83,AAPL,364.11,Call,360.0,10/16/20,106,25.45,27.0,26.58,52,1809,0.03,30.51,07/02/20,0.29041095890410956,0.0040999999999999995,34.49169930198103
84,AAPL,364.11,Call,425.0,10/16/20,106,4.25,5.8,4.45,91,544,0.17,27.0,07/02/20,0.29041095890410956,0.0040999999999999995,7.409327998203332
85,AAPL,364.11,Call,240.0,06/17/22,715,137.0,141.5,139.35,9,1104,0.01,29.49,07/01/20,1.9589041095890412,0.0049,69.59966972049435
86,AAPL,364.11,Call,325.0,10/16/20,106,48.1,50.05,50.35,6,1440,0.0,34.04,07/02/20,0.29041095890410956,0.0040999999999999995,63.93739074311667
87,AAPL,364.11,Call,460.0,09/18/20,78,0.54,1.43,1.27,150,2057,0.07,30.72,07/02/20,0.2136986301369863,0.0045000000000000005,2.1295728232104745
88,AAPL,364.11,Call,520.0,12/18/20,169,0.13,2.1,1.72,11,844,0.01,30.57,07/02/20,0.46301369863013697,0.0040999999999999995,2.1246123526763703
89,AAPL,364.11,Call,365.0,11/20/20,141,27.9,28.75,28.5,128,484,0.26,31.04,07/02/20,0.3863013698630137,0.0040999999999999995,31.84432535262443
90,AAPL,364.11,Call,310.0,12/18/20,169,65.1,68.65,69.1,29,1434,0.02,37.32,07/02/20,0.46301369863013697,0.0040999999999999995,69.4545895291585
91,AAPL,364.11,Call,500.0,09/17/21,442,10.0,13.4,10.55,10,774,0.01,27.3,07/02/20,1.210958904109589,0.0049,8.382960570316293
92,AAPL,364.11,Call,540.0,09/17/21,442,6.0,7.7,7.0,29,114,0.25,27.79,07/02/20,1.210958904109589,0.0049,4.81707435756981
93,AAPL,364.11,Call,310.0,11/20/20,141,63.4,67.0,70.0,10,135,0.07,42.55,07/02/20,0.3863013698630137,0.0040999999999999995,74.21112343046389
94,AAPL,364.11,Call,480.0,09/18/20,78,0.75,1.3,0.91,26,507,0.05,32.89,07/02/20,0.2136986301369863,0.0045000000000000005,1.9359752938277044
95,AAPL,364.11,Call,490.0,09/18/20,78,0.8,1.0,1.01,19,393,0.05,35.51,07/02/20,0.2136986301369863,0.0045000000000000005,1.4892117644828495
96,AAPL,364.11,Call,315.0,12/18/20,169,61.25,64.8,63.77,17,1032,0.02,33.79,07/01/20,0.46301369863013697,0.0040999999999999995,65.55946688258513
97,AAPL,364.11,Call,310.0,10/16/20,106,60.1,63.6,63.07,14,1645,0.01,37.09,07/02/20,0.29041095890410956,0.0040999999999999995,81.24711391133309
98,AAPL,364.11,Call,340.0,10/16/20,106,36.15,40.55,40.4,6,1265,0.0,34.01,07/02/20,0.29041095890410956,0.0040999999999999995,51.80142247019744
99,AAPL,364.11,Call,355.0,10/16/20,106,27.8,30.3,29.8,32,831,0.04,31.33,07/02/20,0.29041095890410956,0.0040999999999999995,38.70735143888982
100,AAPL,364.11,Call,320.0,10/16/20,106,51.7,55.4,53.83,40,1586,0.03,33.83,07/02/20,0.29041095890410956,0.0040999999999999995,70.771857086287
101,AAPL,364.11,Call,345.0,10/16/20,106,34.5,37.2,36.02,58,741,0.08,32.11,07/02/20,0.29041095890410956,0.0040999999999999995,47.52189681606276
102,AAPL,364.11,Call,265.0,10/16/20,106,100.5,104.2,104.35,122,245,0.5,48.2,07/02/20,0.29041095890410956,0.0040999999999999995,133.11240989875643
103,AAPL,364.11,Call,335.0,10/16/20,106,40.75,43.55,41.91,7,331,0.02,31.51,07/02/20,0.29041095890410956,0.0040999999999999995,55.633833503750886
104,AAPL,364.11,Call,330.0,10/16/20,106,43.5,46.8,45.47,28,4824,0.01,31.77,07/02/20,0.29041095890410956,0.0040999999999999995,59.785612123433786
105,AAPL,364.11,Call,300.0,10/16/20,106,67.9,72.2,70.0,60,3819,0.02,34.86,07/02/20,0.29041095890410956,0.0040999999999999995,92.23335887418632
106,AAPL,364.11,Call,280.0,10/16/20,106,86.0,90.2,90.05,12,859,0.01,43.64,07/02/20,0.29041095890410956,0.0040999999999999995,115.227825075507
107,AAPL,364.11,Call,520.0,11/20/20,141,0.0,2.48,1.38,11,460,0.02,32.16,07/02/20,0.3863013698630137,0.0040999999999999995,2.746919195635081
108,AAPL,364.11,Call,450.0,11/20/20,141,3.9,5.5,5.4,9,951,0.01,30.57,07/02/20,0.3863013698630137,0.0040999999999999995,6.091957893545543
109,AAPL,364.11,Call,500.0,11/20/20,141,1.0,3.0,1.75,134,1207,0.11,30.74,07/02/20,0.3863013698630137,0.0040999999999999995,3.322886123752115
110,AAPL,364.11,Call,330.0,06/18/21,351,61.45,64.3,62.5,20,1895,0.01,30.0,07/02/20,0.9616438356164384,0.0039000000000000003,45.1399604717716
111,AAPL,364.11,Call,340.0,06/18/21,351,55.0,58.15,59.0,9,1537,0.01,31.65,07/02/20,0.9616438356164384,0.0039000000000000003,40.82253034888832
112,AAPL,364.11,Call,350.0,06/18/21,351,50.0,52.0,52.25,34,2812,0.01,30.49,07/02/20,0.9616438356164384,0.0039000000000000003,36.50510022600503
113,AAPL,364.11,Call,250.0,07/17/20,15,113.0,115.65,113.75,16,1301,0.01,0.0,07/02/20,0.0410958904109589,0.0079,392.7387624789516
114,AAPL,364.11,Call,305.0,07/17/20,15,57.5,61.8,59.45,26,3199,0.01,41.0,07/02/20,0.0410958904109589,0.0079,209.86818435969914
115,AAPL,364.11,Call,320.0,07/17/20,15,43.15,46.5,45.58,124,12247,0.01,46.87,07/02/20,0.0410958904109589,0.0079,157.91052706676393
116,AAPL,364.11,Call,400.0,08/21/20,50,4.05,4.35,4.25,1682,5285,0.32,28.52,07/02/20,0.136986301369863,0.0064,8.091108304896464
117,AAPL,364.11,Call,390.0,08/21/20,50,6.1,7.1,6.4,420,2529,0.17,28.62,07/02/20,0.136986301369863,0.0064,13.206176773509174
118,AAPL,364.11,Call,395.0,08/21/20,50,4.95,6.35,5.2,395,1610,0.25,28.48,07/02/20,0.136986301369863,0.0064,11.811158100251163
119,AAPL,364.11,Call,385.0,08/21/20,50,7.45,9.2,7.65,859,2773,0.31,28.45,07/02/20,0.136986301369863,0.0064,17.112229058631605
120,AAPL,364.11,Call,370.0,08/21/20,50,13.55,14.25,13.65,2409,3274,0.74,29.75,07/02/20,0.136986301369863,0.0064,26.505354791902214
121,AAPL,364.11,Call,375.0,08/21/20,50,11.3,13.55,11.35,1287,4973,0.26,29.21,07/02/20,0.136986301369863,0.0064,25.20333736352807
122,AAPL,364.11,Call,380.0,08/21/20,50,9.15,10.55,9.45,555,2726,0.2,28.97,07/02/20,0.136986301369863,0.0064,19.62326267049603
123,AAPL,364.11,Call,360.0,11/20/20,141,30.05,31.8,30.94,48,711,0.07,31.09,07/02/20,0.3863013698630137,0.0040999999999999995,35.22259291177241
124,AAPL,364.11,Call,540.0,12/18/20,169,0.09,2.49,1.5,9,1059,0.01,32.24,07/02/20,0.46301369863013697,0.0040999999999999995,2.5191832181734104
125,AAPL,364.11,Call,500.0,12/18/20,169,1.77,3.4,2.27,367,801,0.46,29.59,07/02/20,0.46301369863013697,0.0040999999999999995,3.439848570999837
126,AAPL,364.11,Call,470.0,12/18/20,169,1.24,5.8,3.95,39,207,0.19,28.87,07/02/20,0.46301369863013697,0.0040999999999999995,5.8679769740585455
127,AAPL,364.11,Call,300.0,11/20/20,141,70.65,74.25,75.25,12,242,0.05,39.49,07/02/20,0.3863013698630137,0.0040999999999999995,82.24143156286482
128,AAPL,364.11,Call,315.0,07/17/20,15,48.25,51.7,50.1,96,19359,0.0,46.0,07/02/20,0.0410958904109589,0.0079,175.5693386957354
129,AAPL,364.11,Call,420.0,10/16/20,106,4.15,6.4,5.4,59,6580,0.01,27.44,07/02/20,0.29041095890410956,0.0040999999999999995,8.175810204914022
130,AAPL,364.11,Call,390.0,10/16/20,106,10.2,14.35,12.83,70,837,0.08,28.41,07/02/20,0.29041095890410956,0.0040999999999999995,18.331699443830658
131,AAPL,364.11,Call,400.0,10/16/20,106,9.0,11.4,9.7,318,1793,0.18,27.93,07/02/20,0.29041095890410956,0.0040999999999999995,14.563161927503101
132,AAPL,364.11,Call,380.0,10/16/20,106,15.55,17.3,16.0,65,872,0.07,28.14,07/02/20,0.29041095890410956,0.0040999999999999995,22.100236960158217
133,AAPL,364.11,Call,405.0,10/16/20,106,5.75,8.5,8.0,43,866,0.05,27.13,07/02/20,0.29041095890410956,0.0040999999999999995,10.858497928401436
134,AAPL,364.11,Call,370.0,10/16/20,106,19.3,21.9,20.6,242,1107,0.22,28.87,07/02/20,0.29041095890410956,0.0040999999999999995,27.976600544940165
135,AAPL,364.11,Call,385.0,10/16/20,106,13.9,15.85,15.37,91,798,0.11,29.64,07/02/20,0.29041095890410956,0.0040999999999999995,20.247904960607382
136,AAPL,364.11,Call,395.0,10/16/20,106,8.8,11.6,11.4,30,250,0.12,28.47,07/02/20,0.29041095890410956,0.0040999999999999995,14.818655996406664
137,AAPL,364.11,Call,325.0,07/17/20,15,38.25,42.25,40.34,146,15360,0.01,40.35,07/02/20,0.0410958904109589,0.0079,143.47784448539304
138,AAPL,364.11,Call,415.0,10/16/20,106,3.7,7.65,6.4,87,349,0.25,27.75,07/02/20,0.29041095890410956,0.0040999999999999995,9.772648135561292
139,AAPL,364.11,Call,375.0,10/16/20,106,16.2,20.1,18.22,239,2328,0.1,28.51,07/02/20,0.29041095890410956,0.0040999999999999995,25.677153924808106
140,AAPL,364.11,Call,450.0,10/16/20,106,2.22,2.94,2.25,45,1122,0.04,27.7,07/02/20,0.29041095890410956,0.0040999999999999995,3.7557628128823786
141,AAPL,364.11,Call,150.0,06/18/21,351,213.0,217.5,217.48,6,930,0.01,26.25,07/01/20,0.9616438356164384,0.0039000000000000003,152.68960190684794
142,AAPL,364.11,Call,330.0,07/17/20,15,34.0,36.3,35.0,301,7874,0.04,32.83,07/02/20,0.0410958904109589,0.0079,123.27208887147378
143,AAPL,364.11,Call,500.0,10/16/20,106,1.0,1.41,1.1,299,1775,0.17,32.52,07/02/20,0.29041095890410956,0.0040999999999999995,1.80123318577012
144,AAPL,364.11,Call,410.0,10/16/20,106,6.65,7.7,7.45,158,1038,0.15,27.92,07/02/20,0.29041095890410956,0.0040999999999999995,9.836521652787184
145,AAPL,364.11,Call,365.0,10/16/20,106,21.8,25.4,24.44,97,1233,0.08,30.88,07/02/20,0.29041095890410956,0.0040999999999999995,32.44774675075252
146,AAPL,364.11,Call,480.0,10/16/20,106,1.2,2.3,1.63,6,519,0.01,31.51,07/02/20,0.29041095890410956,0.0040999999999999995,2.9381817923909765
147,AAPL,364.11,Call,460.0,10/16/20,106,0.0,2.14,1.89,51,520,0.1,28.62,07/02/20,0.29041095890410956,0.0040999999999999995,2.733786537268126
148,AAPL,364.11,Call,440.0,10/16/20,106,0.88,5.0,3.15,59,1051,0.06,27.9,07/02/20,0.29041095890410956,0.0040999999999999995,6.38735172258908
149,AAPL,364.11,Call,160.0,06/18/21,351,203.0,208.0,206.45,8,810,0.01,29.31,07/01/20,0.9616438356164384,0.0039000000000000003,146.0204009040201
150,AAPL,364.11,Call,470.0,10/16/20,106,0.3,1.94,1.61,32,391,0.08,29.55,07/02/20,0.29041095890410956,0.0040999999999999995,2.4782924683645633
151,AAPL,364.11,Call,250.0,09/18/20,78,114.2,116.55,115.5,94,3448,0.03,42.77,07/02/20,0.2136986301369863,0.0045000000000000005,173.56763115047607
152,AAPL,364.11,Call,280.0,09/18/20,78,85.3,88.0,88.85,12,8100,0.0,47.69,07/02/20,0.2136986301369863,0.0045000000000000005,131.05063527449076
153,AAPL,364.11,Call,300.0,09/18/20,78,66.05,70.0,69.05,53,6949,0.01,38.64,07/02/20,0.2136986301369863,0.0045000000000000005,104.24482351379945
154,AAPL,364.11,Call,305.0,09/18/20,78,62.0,65.8,64.35,20,2183,0.01,37.12,07/02/20,0.2136986301369863,0.0045000000000000005,97.9901341029715
155,AAPL,364.11,Call,310.0,09/18/20,78,57.7,61.4,59.96,15,6061,0.0,36.34,07/02/20,0.2136986301369863,0.0045000000000000005,91.43760233924695
156,AAPL,364.11,Call,320.0,09/18/20,78,48.4,53.0,51.09,376,5579,0.07,34.06,07/02/20,0.2136986301369863,0.0045000000000000005,78.92822351759101
157,AAPL,364.11,Call,315.0,09/18/20,78,53.0,57.2,56.15,22,3425,0.01,36.77,07/02/20,0.2136986301369863,0.0045000000000000005,85.18291292841899
158,AAPL,364.11,Call,330.0,09/18/20,78,41.5,44.6,41.85,249,5551,0.04,30.49,07/02/20,0.2136986301369863,0.0045000000000000005,66.41884469593509
159,AAPL,364.11,Call,325.0,09/18/20,78,44.6,48.8,49.34,23,2954,0.01,38.2,07/02/20,0.2136986301369863,0.0045000000000000005,72.67353410676304
160,AAPL,364.11,Call,340.0,09/18/20,78,34.55,36.6,35.45,338,7254,0.05,31.61,07/02/20,0.2136986301369863,0.0045000000000000005,54.50515058007229
161,AAPL,364.11,Call,350.0,09/18/20,78,28.0,30.8,28.5,191,7077,0.03,30.45,07/02/20,0.2136986301369863,0.0045000000000000005,45.867722346071766
162,AAPL,364.11,Call,345.0,09/18/20,78,29.9,34.0,31.49,42,2187,0.02,30.35,07/02/20,0.2136986301369863,0.0045000000000000005,50.63319999241688
163,AAPL,364.11,Call,335.0,09/18/20,78,36.5,41.0,39.25,20,2551,0.01,32.37,07/02/20,0.2136986301369863,0.0045000000000000005,61.05768234379683
164,AAPL,364.11,Call,360.0,09/18/20,78,22.0,23.85,22.2,931,7806,0.12,29.25,07/02/20,0.2136986301369863,0.0045000000000000005,35.51770058291596
165,AAPL,364.11,Call,355.0,09/18/20,78,23.15,26.1,25.04,41,207,0.2,29.51,07/02/20,0.2136986301369863,0.0045000000000000005,38.86842705300237
166,AAPL,364.11,Call,370.0,09/18/20,78,17.1,18.2,17.1,1233,11965,0.1,28.71,07/02/20,0.2136986301369863,0.0045000000000000005,27.10365411358786
167,AAPL,364.11,Call,365.0,09/18/20,78,18.4,22.0,19.64,563,993,0.57,29.11,07/02/20,0.2136986301369863,0.0045000000000000005,32.76265881862269
168,AAPL,364.11,Call,380.0,09/18/20,78,12.55,14.0,12.75,1002,4372,0.23,28.08,07/02/20,0.2136986301369863,0.0045000000000000005,20.84896470275989
